segment,precision_at_5,recall_at_5,ndcg_at_5,precision_at_10,recall_at_10,ndcg_at_10,map_at_10,modele,fenetre,policy_combo
actif,0.014118666089216112,0.027459320670667572,0.021965866012436948,0.012516240796881769,0.04481841242343624,0.029597012323218107,0.015642690765734137,popularite_categorie,3,defaut_exclut_achats_stock_filtre
peu_actif,0.01256168685509197,0.02487573614760694,0.02094640717228564,0.012696276357110813,0.049096149600860235,0.031049770426018582,0.016587992931084004,popularite_categorie,3,defaut_exclut_achats_stock_filtre
actif,0.016717193590298832,0.031539111963538126,0.0253778399636814,0.016240796881766998,0.06137474478747758,0.03763057630028335,0.019070376622811195,collaboratif_item_item,3,defaut_exclut_achats_stock_filtre
peu_actif,0.01363840287124271,0.02601921282944163,0.020473886769665113,0.013369223867205024,0.0508862255833992,0.030897762898049606,0.015576183117681547,collaboratif_item_item,3,defaut_exclut_achats_stock_filtre
actif,0.009441316587267216,0.016936315452989337,0.014036545490748434,0.009354699003897791,0.03284868733114727,0.020866100702148862,0.010552588101310491,contenu_categorie_prix,3,defaut_exclut_achats_stock_filtre
peu_actif,0.010139075818752804,0.016936913841355296,0.014752094982172684,0.009645580978017048,0.03568971778931402,0.022204002071541613,0.011151265426164484,contenu_categorie_prix,3,defaut_exclut_achats_stock_filtre
actif,0.01888263317453443,0.03545597970673761,0.027866742564841004,0.01645734084019056,0.06055342448802822,0.03829591682733659,0.01999684595458895,popularite_globale,3,inclut_produits_deja_achetes
peu_actif,0.015432929564827277,0.02868554480263767,0.022832167434563597,0.01502916105877075,0.0586381180257358,0.03491818721087985,0.017414205550621623,popularite_globale,3,inclut_produits_deja_achetes
actif,0.015417929839757472,0.028223927076244097,0.023676956808506913,0.014508445214378518,0.05438810864319742,0.0343814526621828,0.01814675873958649,popularite_recente,3,inclut_produits_deja_achetes
peu_actif,0.014804845222072678,0.029768491814252243,0.023821431638751472,0.01449080305069538,0.05831268203408176,0.03550808320477906,0.018599441346749554,popularite_recente,3,inclut_produits_deja_achetes
actif,0.015071459506279777,0.029438119985976202,0.02347693166714056,0.013165872672152449,0.048334673843552146,0.03152984727835526,0.01652609988945292,popularite_categorie,3,inclut_produits_deja_achetes
peu_actif,0.012741139524450428,0.025541918576911845,0.020564290188331603,0.012696276357110813,0.04875718344762759,0.030326724322161328,0.01578460694880614,popularite_categorie,3,inclut_produits_deja_achetes
actif,0.01715028150714595,0.0327986759883685,0.026370529890033387,0.015980944131658726,0.061288127204108145,0.03803751099207503,0.019640419181964686,collaboratif_item_item,3,inclut_produits_deja_achetes
peu_actif,0.01363840287124271,0.025959395272988812,0.020458843627503664,0.013503813369223868,0.0521349170743518,0.031296333466793745,0.015707814380425417,collaboratif_item_item,3,inclut_produits_deja_achetes
actif,0.009268081420528368,0.01652488193198457,0.013763599127238988,0.009527934170636639,0.03375507847140589,0.02113632818531201,0.01047671383167578,contenu_categorie_prix,3,inclut_produits_deja_achetes
peu_actif,0.01031852848811126,0.01796876669016642,0.01569150239848974,0.009645580978017048,0.03598132837702151,0.022900629300564464,0.011920013007944815,contenu_categorie_prix,3,inclut_produits_deja_achetes
actif,0.018362927674317887,0.03450267070882056,0.027659433890934216,0.01667388479861412,0.061329373672379305,0.038857745416055474,0.020285531745540715,popularite_globale,3,sans_filtre_stock
peu_actif,0.014804845222072678,0.027431868515314005,0.021737314642683487,0.015118887393449978,0.05779568743902526,0.034287547536088536,0.016760576669728758,popularite_globale,3,sans_filtre_stock
actif,0.015677782589865744,0.02925560436387634,0.023969103973196973,0.014638371589432656,0.05495060735424529,0.03450049572451108,0.01807479736035697,popularite_recente,3,sans_filtre_stock
peu_actif,0.014625392552714223,0.02967876547957302,0.023714625173617835,0.014759982054733063,0.05896373204583164,0.03586906139408941,0.018852416795440575,popularite_recente,3,sans_filtre_stock
actif,0.014118666089216112,0.027459320670667572,0.021965866012436948,0.012516240796881769,0.04481841242343624,0.029597012323218107,0.015642690765734137,popularite_categorie,3,sans_filtre_stock
peu_actif,0.01256168685509197,0.02487573614760694,0.02094640717228564,0.012696276357110813,0.049096149600860235,0.031049770426018582,0.016587992931084004,popularite_categorie,3,sans_filtre_stock
actif,0.016717193590298832,0.031539111963538126,0.0253778399636814,0.016240796881766998,0.06137474478747758,0.03763057630028335,0.019070376622811195,collaboratif_item_item,3,sans_filtre_stock
peu_actif,0.01363840287124271,0.02601921282944163,0.020473886769665113,0.013369223867205024,0.0508862255833992,0.030897762898049606,0.015576183117681547,collaboratif_item_item,3,sans_filtre_stock
actif,0.009441316587267216,0.016936315452989337,0.014036545490748434,0.009354699003897791,0.03284868733114727,0.020866100702148862,0.010552588101310491,contenu_categorie_prix,3,sans_filtre_stock
peu_actif,0.010139075818752804,0.016936913841355296,0.014752094982172684,0.009645580978017048,0.03568971778931402,0.022204002071541613,0.011151265426164484,contenu_categorie_prix,3,sans_filtre_stock
