user_coverage,catalog_coverage,n_evaluable,precision_at_5,recall_at_5,ndcg_at_5,precision_at_10,recall_at_10,ndcg_at_10,map_at_10,diversity_at_10,modele,fenetre,perimetre,taux_cibles_eligibles
1.0,0.056666666666666664,4531,0.018538953873317148,0.039679056407618186,0.029217120296384316,0.01754579563010373,0.07440114465772804,0.04329820377463645,0.0222877865791076,0.3551092474067534,popularite_globale,2,ranking_cibles_eligibles_seules,0.9203421096763374
1.0,0.05,4531,0.016376075921430144,0.030290187876813344,0.024966061774913714,0.01646435665416023,0.06250109475114993,0.03816483801327331,0.01932301089346207,0.38567645111454424,popularite_recente,2,end_to_end_toutes_cibles,0.9203421096763374
1.0,0.05,4531,0.016376075921430144,0.032404460020935374,0.02616290181527401,0.01646435665416023,0.06708153364129055,0.040203807420060696,0.0206147414576404,0.38567645111454424,popularite_recente,2,ranking_cibles_eligibles_seules,0.9203421096763374
1.0,0.4166666666666667,4531,0.015007724564113882,0.02926637660140198,0.023062914757703615,0.013264180092694769,0.05097338106607583,0.03201394692027586,0.016709503132281138,0.09999999999999999,popularite_categorie,2,end_to_end_toutes_cibles,0.9203421096763374
1.0,0.4166666666666667,4531,0.015007724564113882,0.03152095859725839,0.024319456524625215,0.013264180092694769,0.05547751071046141,0.033971780426139665,0.017990552924598453,0.09999999999999999,popularite_categorie,2,ranking_cibles_eligibles_seules,0.9203421096763374
1.0,0.23,4531,0.01765614654601633,0.03403125908643454,0.027666558611561205,0.017678216729198854,0.06816752670317006,0.041730206495942834,0.021738633522022557,0.34917236813065544,collaboratif_item_item,2,end_to_end_toutes_cibles,0.9203421096763374
1.0,0.23,4531,0.01765614654601633,0.03686885737864806,0.029258324151840924,0.017678216729198854,0.07440328821152588,0.044399315900243104,0.02346293178786507,0.34917236813065544,collaboratif_item_item,2,ranking_cibles_eligibles_seules,0.9203421096763374
1.0,0.78,4531,0.01015228426395939,0.01814931004403527,0.014806402665992716,0.010726109026704924,0.03942163858848917,0.023644705981110715,0.011416414894754584,0.17130876186272348,contenu_categorie_prix,2,end_to_end_toutes_cibles,0.9203421096763374
1.0,0.78,4531,0.01015228426395939,0.020129845771304243,0.015917179067735647,0.010726109026704924,0.04344778124318975,0.025433689716694668,0.012699823446021316,0.17130876186272348,contenu_categorie_prix,2,ranking_cibles_eligibles_seules,0.9203421096763374
1.0,0.06,4538,0.016615249008373734,0.03102959488481745,0.02475057452461626,0.015910092551784927,0.059593678076489895,0.03661293028285884,0.018554124768020912,0.3059056853239312,popularite_globale,3,end_to_end_toutes_cibles,0.9198959906056031
1.0,0.06,4538,0.016615249008373734,0.03397013720742534,0.026416796595924528,0.015910092551784927,0.06580172181867097,0.039313344627462624,0.020333025652194338,0.3059056853239312,popularite_globale,3,ranking_cibles_eligibles_seules,0.9198959906056031
1.0,0.06,4538,0.015160863816659324,0.029463454986813294,0.023844107665514754,0.014698104892022917,0.05692179619019637,0.035172715397823136,0.018456752785831042,0.299559277214632,popularite_recente,3,end_to_end_toutes_cibles,0.9198959906056031
1.0,0.06,4538,0.015160863816659324,0.03254990583804143,0.025496945646482777,0.014698104892022917,0.062180521926284635,0.037585960187529015,0.020096360138531243,0.299559277214632,popularite_recente,3,ranking_cibles_eligibles_seules,0.9198959906056031
1.0,0.4266666666666667,4538,0.013353900396650508,0.026190301300481996,0.021465122567153282,0.012604671661524902,0.046919575087270106,0.030310586102667698,0.016107009524342523,0.09999999999999999,popularite_categorie,3,end_to_end_toutes_cibles,0.9198959906056031
1.0,0.4266666666666667,4538,0.013353900396650508,0.028820016142050035,0.022982370839429934,0.012604671661524902,0.051469464622006994,0.03249202472862866,0.01766071161672453,0.09999999999999999,popularite_categorie,3,ranking_cibles_eligibles_seules,0.9198959906056031
1.0,0.14666666666666667,4538,0.015204936095196122,0.028827817302916465,0.022969089044892883,0.01483032172763332,0.056222935773398534,0.03432351568468639,0.017354079284130283,0.34107536359629786,collaboratif_item_item,3,end_to_end_toutes_cibles,0.9198959906056031
1.0,0.14666666666666667,4538,0.015204936095196122,0.03179634113532419,0.024503276679411705,0.01483032172763332,0.062408662900188316,0.03690510259186259,0.018986219045056815,0.34107536359629786,collaboratif_item_item,3,ranking_cibles_eligibles_seules,0.9198959906056031
1.0,0.72,4538,0.00978404583516968,0.016936609372704567,0.014388013057161976,0.009497576024680477,0.03424416042309387,0.02152325851448391,0.010846649748974561,0.17990304098721904,contenu_categorie_prix,3,end_to_end_toutes_cibles,0.9198959906056031
1.0,0.72,4538,0.00978404583516968,0.018770513855259616,0.015313342408978583,0.009497576024680477,0.03747323110034975,0.02296373011520915,0.011751833916240696,0.17990304098721904,contenu_categorie_prix,3,ranking_cibles_eligibles_seules,0.9198959906056031
